Postcode	Description	Grid Reference	X (easting)	Y (northing)	Latitude	Longitude
S66 8JE	S66 8JE	SK 52961 92187	452961	392187	53.423828	-1.2044929
S60 2QY	S60 2QY	SK 43877 91620	443877	391620	53.419563	-1.3412595
S65 1DA	S65 1DA	SK 43142 92823	443142	392823	53.430436	-1.3521538
S6 3TN	S6 3TN	SK 33202 88493	433202	388493	53.392235	-1.5022038
S2 3TA	S2 3TA	SK 36833 85339	436833	385339	53.363646	-1.4479734
S11 8HN	S11 8HN	SK 34457 86083	434457	386083	53.370493	-1.4835952
S3 9DL	S3 9DL	SK 35646 89288	435646	389288	53.399221	-1.4653654
S6 1GA	S6 1GA	SK 33207 92642	433207	392642	53.429526	-1.5016932
S35 1RN	S35 1RN	SK 34689 95951	434689	395951	53.459173	-1.4790262
S5 8AL	S5 8AL	SK 35259 91917	435259	391917	53.422877	-1.4708925
S20 8NZ	S20 8NZ	SK 43455 81758	443455	381758	53.330958	-1.3489614
S5 7HD	S5 7HD	SK 35338 90831	435338	390831	53.413111	-1.4698251
S8 7RL	S8 7RL	SK 34659 81257	434659	381257	53.327102	-1.4810861
S7 2DW	S7 2DW	SK 34125 84180	434125	384180	53.35341	-1.4887894
S6 4JQ	S6 4JQ	SK 33141 89588	433141	389588	53.402081	-1.5030065
S14 1PQ	S14 1PQ	SK 36605 84542	436605	384542	53.356498	-1.4514914
S2 1SL	S2 1SL	SK 38625 85885	438625	385885	53.368426	-1.42098
S6 4FA	S6 4FA	SK 32827 90391	432827	390391	53.409318	-1.5076457
S12 2LJ	S12 2LJ	SK 38372 83286	438372	383286	53.345084	-1.4250964
S20 1HQ	S20 1HQ	SK 44032 82534	444032	382534	53.337885	-1.3401905
S8 7FH	S8 7FH	SK 34038 80966	434038	380966	53.324527	-1.4904406
S12 3BP	S12 3BP	SK 40249 82769	440249	382769	53.340298	-1.3969701
S8 0YH	S8 0YH	SK 34958 84739	434958	384739	53.35838	-1.4762139
S4 8AN	S4 8AN	SK 37680 90102	437680	390102	53.406397	-1.4346797
S10 5BU	S10 5BU	SK 32987 86929	432987	386929	53.37819	-1.5055995
S2 2TD	S2 2TD	SK 36296 86989	436296	386989	53.378514	-1.4558537
S6 3FT	S6 3FT	SK 34174 88214	434174	388214	53.389665	-1.4876186
S12 3GH	S12 3GH	SK 38665 83054	438665	383054	53.342978	-1.4207239
S5 6AZ	S5 6AZ	SK 37438 91402	437438	391402	53.418099	-1.4381658
S11 7EJ	S11 7EJ	SK 31603 85798	431603	385798	53.368109	-1.5265158
S5 6HH	S5 6HH	SK 36939 91326	436939	391326	53.417451	-1.4456823
S13 9BZ	S13 9BZ	SK 41118 86260	441118	386260	53.371609	-1.3834671
S17 4DR	S17 4DR	SK 31336 80063	431336	380063	53.316577	-1.5310938
S2 4UJ	S2 4UJ	SK 35255 85660	435255	385660	53.366638	-1.4716493
S35 9XQ	S35 9XQ	SK 35603 94359	435603	394359	53.444803	-1.465441
S35 0FW	S35 0FW	SK 30450 93253	430450	393253	53.435184	-1.5431263
S8 0SH	S8 0SH	SK 34697 82694	434697	382694	53.340016	-1.4803587
S2 5QQ	S2 5QQ	SK 36405 86907	436405	386907	53.377769	-1.4542247
S6 1TT	S6 1TT	SK 32307 91456	432307	391456	53.418922	-1.5153591
S10 5PN	S10 5PN	SK 31957 87189	431957	387189	53.38059	-1.5210558
S6 4GQ	S6 4GQ	SK 32940 89929	432940	389929	53.405158	-1.505994
S8 0BJ	S8 0BJ	SK 34514 82588	434514	382588	53.339075	-1.4831185
S9 1DJ	S9 1DJ	SK 38886 91569	438886	391569	53.419495	-1.4163595
S3 9DA	S3 9DA	SK 36025 88630	436025	388630	53.393282	-1.4597406
S5 7TW	S5 7TW	SK 35931 91781	435931	391781	53.42161	-1.4607962
S12 3DZ	S12 3DZ	SK 38855 83560	438855	383560	53.347512	-1.4178083
S4 8GB	S4 8GB	SK 36840 90191	436840	390191	53.407256	-1.447304
S11 9AL	S11 9AL	SK 33696 85257	433696	385257	53.363118	-1.4951198
S11 7PL	S11 7PL	SK 32414 84871	432414	384871	53.359728	-1.5144228
S35 8NX	S35 8NX	SK 33537 93621	433537	393621	53.438305	-1.496623
S10 1EA	S10 1EA	SK 33690 87774	433690	387774	53.385741	-1.4949425
S6 3QW	S6 3QW	SK 33818 88603	433818	388603	53.393184	-1.4929297
S11 8AN	S11 8AN	SK 34532 85705	434532	385705	53.36709	-1.4825092
S11 9RL	S11 9RL	SK 31690 84119	431690	384119	53.353012	-1.525376
S11 7AB	S11 7AB	SK 32569 85764	432569	385764	53.367745	-1.5120023
S17 4DQ	S17 4DQ	SK 31623 80104	431623	380104	53.316928	-1.5267819
S9 4QH	S9 4QH	SK 39418 87699	439418	387699	53.384672	-1.4088373
S5 0RG	S5 0RG	SK 37268 92731	437268	392731	53.430056	-1.4405668
S13 7LY	S13 7LY	SK 41872 84726	441872	384726	53.357762	-1.3723379
S2 3AJ	S2 3AJ	SK 35935 84757	435935	384757	53.358476	-1.461533
S36 2RA	S36 2RA	SK 28104 98232	428104	398232	53.480066	-1.5779945
S9 5DH	S9 5DH	SK 39311 88091	439311	388091	53.388203	-1.4103972
S3 7SF	S3 7SF	SK 34822 87088	434822	387088	53.379502	-1.4779993
S5 8GS	S5 8GS	SK 34122 91739	434122	391739	53.421352	-1.4880203
S20 5BQ	S20 5BQ	SK 42403 81102	442403	381102	53.325147	-1.3648442
S10 1GN	S10 1GN	SK 33205 87539	433205	387539	53.38366	-1.5022587
S8 9SG	S8 9SG	SK 35700 84769	435700	384769	53.3586	-1.4650624
S10 5ND	S10 5ND	SK 32108 86994	432108	386994	53.378829	-1.5188056
S9 5DH	S9 5DH	SK 39311 88091	439311	388091	53.388203	-1.4103972
S13 8NA	S13 8NA	SK 39459 85062	439459	385062	53.360967	-1.4085492
S5 7QB	S5 7QB	SK 34823 91494	434823	391494	53.419104	-1.4774996
S2 5FX	S2 5FX	SK 37222 86611	437222	386611	53.375052	-1.4419789
S2 2AG	S2 2AG	SK 37466 84776	437466	384776	53.358541	-1.4385283
S2 1QU	S2 1QU	SK 38215 86464	438215	386464	53.37366	-1.4270716
S5 0QJ	S5 0QJ	SK 36184 92170	436184	392170	53.425089	-1.4569449
S36 1BX	S36 1BX	SK 26980 98476	426980	398476	53.482318	-1.5949097
S35 9XQ	S35 9XQ	SK 35603 94359	435603	394359	53.444803	-1.465441
S12 4LA	S12 4LA	SK 41746 83363	441746	383363	53.345521	-1.3744103
S3 9LB	S3 9LB	SK 35978 88359	435978	388359	53.390849	-1.4604781
S12 2SS	S12 2SS	SK 38057 84884	438057	384884	53.35947	-1.429636
S3 7QP	S3 7QP	SK 34513 87174	434513	387174	53.380295	-1.4826348
S8 0RT	S8 0RT	SK 34627 84265	434627	384265	53.354141	-1.4812387
S12 2SS	S12 2SS	SK 38057 84884	438057	384884	53.35947	-1.429636
S5 0AE	S5 0AE	SK 36702 93338	436702	393338	53.435551	-1.4490144
S20 6PD	S20 6PD	SK 41641 82600	441641	382600	53.338672	-1.3760874
S20 7HZ	S20 7HZ	SK 43079 83082	443079	383082	53.342889	-1.3544272
S11 7BJ	S11 7BJ	SK 32735 85341	432735	385341	53.363933	-1.5095513
S8 7NP	S8 7NP	SK 34561 80829	434561	380829	53.323262	-1.4826039
S9 1WZ	S9 1WZ	SK 40165 90640	440165	390640	53.41105	-1.397234
S6 6BX	S6 6BX	SK 30236 88577	430236	388577	53.393167	-1.5467942
S2 4HG	S2 4HG	SK 35292 85309	435292	385309	53.363481	-1.4711323
CB2 1EH	CB2 1EH	TL 45292 57697	545292	257697	52.198365	0.12444884
CB3 0DB	CB3 0DB	TL 44251 59420	544251	259420	52.214118	0.10996181
CB1 2PY	CB1 2PY	TL 46439 58525	546439	258525	52.205501	0.1415764
PE28 4EQ	PE28 4EQ	TL 18774 76280	518774	276280	52.371699	-0.25679672
CB3 9HS	CB3 9HS	TL 44336 57771	544336	257771	52.199281	0.11050276
PE1 2RA	PE1 2RA	TL 19088 98990	519088	298990	52.575698	-0.24408206
PE1 2UF	PE1 2UF	TL 19478 99643	519478	299643	52.58148	-0.23809463
PE13 1JU	PE13 1JU	TF 45925 09684	545925	309684	52.665235	0.1563855
CB22 5FY	CB22 5FY	TL 46128 52023	546128	252023	52.147168	0.13423017
PE29 3RL	PE29 3RL	TL 24122 72024	524122	272024	52.332272	-0.17985587
PE13 3AN	PE13 3AN	TF 46296 10124	546296	310124	52.669088	0.16206244
CB1 8BA	CB1 8BA	TL 47533 56387	547533	256387	52.186001	0.1566437
CB2 1RG	CB2 1RG	TL 44859 58154	544859	258154	52.202585	0.11831328
CB7 5JD	CB7 5JD	TL 59662 73372	559662	273372	52.3352	0.3419355
PE13 4LF	PE13 4LF	TF 38895 08985	538895	308985	52.6608	0.052211702
CB4 2JG	CB4 2JG	TL 45449 60762	545449	260762	52.22586	0.12806009
CB1 3DG	CB1 3DG	TL 47088 57614	547088	257614	52.197143	0.15067141
SG8 6BX	SG8 6BX	TL 38528 44403	538528	244403	52.08066	0.020136066
PE1 2QP	PE1 2QP	TL 19302 99920	519302	299920	52.584007	-0.24059116
PE2 5GP	PE2 5GP	TL 16589 95797	516589	295797	52.547547	-0.28206229
CB6 1JU	CB6 1JU	TL 56290 86946	556290	286946	52.458103	0.29881811
PE6 0SD	PE6 0SD	TF 28473 04383	528473	304383	52.622019	-0.10357774
PE4 7DH	PE4 7DH	TF 19179 02429	519179	302429	52.606579	-0.24150313
PE1 2QP	PE1 2QP	TL 19302 99920	519302	299920	52.584007	-0.24059116
CB1 9HR	CB1 9HR	TL 48935 56594	548935	256594	52.187484	0.17722656
PE1 2EJ	PE1 2EJ	TL 18980 99227	518980	299227	52.577851	-0.24558996
PE28 5SU	PE28 5SU	TL 16718 83862	516718	283862	52.440273	-0.2843403
CB24 9NP	CB24 9NP	TL 44154 62892	544154	262892	52.245337	0.11002185
PE2 8AY	PE2 8AY	TL 19802 97078	519802	297078	52.558361	-0.2342414
PE27 5JD	PE27 5JD	TL 31622 71326	531622	271326	52.324254	-0.070127523
PE7 3JL	PE7 3JL	TL 18771 92437	518771	292437	52.516884	-0.25109994
PE19 8BB	PE19 8BB	TL 17128 59658	517128	259658	52.222684	-0.28673666
CB24 5NZ	CB24 5NZ	TL 37246 70426	537246	270426	52.314792	0.011972748
CB7 4HF	CB7 4HF	TL 53735 80215	553735	280215	52.398363	0.25815293
CB23 7DY	CB23 7DY	TL 38090 56540	538090	256540	52.189819	0.018673083
CB6 2RB	CB6 2RB	TL 44659 78898	544659	278898	52.389003	0.12428931
CB2 3LS	CB2 3LS	TL 44877 58730	544877	258730	52.207755	0.11882268
PE28 0JF	PE28 0JF	TL 09933 68383	509933	268383	52.302575	-0.38918165
PE7 1EJ	PE7 1EJ	TL 26891 96815	526891	296815	52.554393	-0.12983146
PE28 3EG	PE28 3EG	TL 36047 77758	536047	277758	52.380966	-0.0026373863
CB23 2SH	CB23 2SH	TL 32468 56760	532468	256760	52.193173	-0.063432153
CB25 9LQ	CB25 9LQ	TL 49838 65910	549838	265910	52.270933	0.19454953
CB22 3HU	CB22 3HU	TL 48618 48541	548618	248541	52.115222	0.16907307
CB4 1GL	CB4 1GL	TL 47143 60738	547143	260738	52.225195	0.1528322
PE19 5SZ	PE19 5SZ	TL 19166 67392	519166	267392	52.291746	-0.25418937
PE7 1AT	PE7 1AT	TL 27029 97232	527029	297232	52.558107	-0.12763767
SG7 5PY	SG7 5PY	TL 26558 39821	526558	239821	52.042349	-0.15613697
CB21 4JS	CB21 4JS	TL 56221 46879	556221	246879	52.098198	0.27925646
PE27 3TP	PE27 3TP	TL 31068 72541	531068	272541	52.335304	-0.077778172
PE29 3EZ	PE29 3EZ	TL 23544 72228	523544	272228	52.334235	-0.18825886
CB25 0AE	CB25 0AE	TL 59195 66467	559195	266467	52.273309	0.33182542
PE15 9BF	PE15 9BF	TL 41924 96608	541924	296608	52.548825	0.091659717
PE3 8DT	PE3 8DT	TF 16487 00559	516487	300559	52.590359	-0.28189413
CB4 1ER	CB4 1ER	TL 45562 59539	545562	259539	52.214843	0.12918757
CB25 9DU	CB25 9DU	TL 54458 60904	554458	260904	52.224685	0.25991527
CB1 2AB	CB1 2AB	TL 45923 58075	545923	258075	52.201594	0.1338372
PE19 1BQ	PE19 1BQ	TL 18576 60440	518576	260440	52.229402	-0.26527541
CB22 7NP	CB22 7NP	TL 42020 50922	542020	250922	52.138347	0.073775705
PE26 1BP	PE26 1BP	TL 28670 85069	528670	285069	52.448437	-0.10814407
PE28 2RQ	PE28 2RQ	TL 30425 79827	530425	279827	52.400922	-0.084379217
PE16 6EX	PE16 6EX	TL 39514 86365	539514	286365	52.457422	0.051851784
CB6 3TA	CB6 3TA	TL 46312 75510	546312	275510	52.358127	0.14708418
PE1 1NW	PE1 1NW	TL 19184 98758	519184	298758	52.573592	-0.24274949
PE15 9BY	PE15 9BY	TL 41955 96563	541955	296563	52.548412	0.092097343
PE1 4SG	PE1 4SG	TF 21106 01042	521106	301042	52.593691	-0.21356896
CB1 8PJ	CB1 8PJ	TL 47174 55675	547174	255675	52.1797	0.15108763
CB2 1LR	CB2 1LR	TL 45562 57361	545562	257361	52.195275	0.12825222
PE15 0TG	PE15 0TG	TL 39808 90842	539808	290842	52.497569	0.058052005
PE3 7JW	PE3 7JW	TF 17355 00697	517355	300697	52.591413	-0.26903849
PE27 5PT	PE27 5PT	TL 31418 71707	531418	271707	52.327727	-0.072970222
CB23 8EH	CB23 8EH	TL 37873 63563	537873	263563	52.252973	0.018360161
PE19 5DA	PE19 5DA	TL 13202 64582	513202	264582	52.267754	-0.34253627
PE19 1DZ	PE19 1DZ	TL 18779 60793	518779	260793	52.232531	-0.26218077
CB24 5LB	CB24 5LB	TL 40607 70334	540607	270334	52.313116	0.061205932
CB23 3QQ	CB23 3QQ	TL 28597 63210	528597	263210	52.252045	-0.11758119
CB5 8SP	CB5 8SP	TL 48163 59517	548163	259517	52.213952	0.16721981
PE26 1SA	PE26 1SA	TL 28515 85657	528515	285657	52.453757	-0.11019727
CB24 8SE	CB24 8SE	TL 45003 67807	545003	267807	52.289271	0.12455835
PE15 8BG	PE15 8BG	TL 41293 96886	541293	296886	52.551486	0.082478698
PE1 2QP	PE1 2QP	TL 19302 99920	519302	299920	52.584007	-0.24059116
PE27 3ER	PE27 3ER	TL 31187 73437	531187	273437	52.343326	-0.075683206
CB24 4RA	CB24 4RA	TL 36236 67389	536236	267389	52.287756	-0.0040616744
PE15 0GN	PE15 0GN	TL 48093 89397	548093	289397	52.482404	0.1793613
CB24 6BL	CB24 6BL	TL 47737 62610	547737	262610	52.241854	0.16233929
PE3 6AP	PE3 6AP	TL 18121 98693	518121	298693	52.57324	-0.25845038
PE4 5EG	PE4 5EG	TF 16552 04809	516552	304809	52.628534	-0.27943878
PE5 7AF	PE5 7AF	TL 11742 99008	511742	299008	52.577417	-0.35242865
PE28 3EU	PE28 3EU	TL 36133 78144	536133	278144	52.384413	-0.0012180714
PE1 4YL	PE1 4YL	TF 21520 01051	521520	301051	52.593679	-0.2074571
PE13 3UZ	PE13 3UZ	TF 46443 09769	546443	309769	52.665859	0.16407706
PE27 5PB	PE27 5PB	TL 31444 71347	531444	271347	52.324486	-0.072729521
PE1 4QF	PE1 4QF	TF 20225 01654	520225	301654	52.599385	-0.22634609
PE1 3HP	PE1 3HP	TF 18323 01143	518323	301143	52.59521	-0.2545968
PE2 5RQ	PE2 5RQ	TL 15187 95428	515187	295428	52.544529	-0.30285595
PE7 8DR	PE7 8DR	TL 17891 94945	517891	294945	52.539611	-0.26317312
PE1 3BF	PE1 3BF	TF 18929 00249	518929	300249	52.587045	-0.24597562
PE3 6DB	PE3 6DB	TL 18093 98814	518093	298814	52.574333	-0.25882027
PE29 7HN	PE29 7HN	TL 24368 73490	524368	273490	52.345389	-0.17570556
CB23 6HL	CB23 6HL	TL 32216 59613	532216	259613	52.218869	-0.066003693
PE29 3TN	PE29 3TN	TL 24029 71549	524029	271549	52.328025	-0.18139503
CB23 6HL	CB23 6HL	TL 32216 59613	532216	259613	52.218869	-0.066003693
CB21 5EE	CB21 5EE	TL 50548 56459	550548	256459	52.185834	0.20074313
PE29 3TN	PE29 3TN	TL 24029 71549	524029	271549	52.328025	-0.18139503
PE29 3TN	PE29 3TN	TL 24029 71549	524029	271549	52.328025	-0.18139503
CB21 5EE	CB21 5EE	TL 50548 56459	550548	256459	52.185834	0.20074313
PE3 6HA	PE3 6HA	TL 17858 99260	517858	299260	52.578391	-0.26212778
PE29 6NT	PE29 6NT	TL 22564 72105	522564	272105	52.33335	-0.2026787
PE29 6NT	PE29 6NT	TL 22564 72105	522564	272105	52.33335	-0.2026787
PE29 6NT	PE29 6NT	TL 22564 72105	522564	272105	52.33335	-0.2026787
PE1 1FA	PE1 1FA	TL 19258 98517	519258	298517	52.57141	-0.24174474
NR25 6QA	NR25 6QA	TG 09607 39774	609607	339774	52.914476	1.116042
IP24 2HY	IP24 2HY	TL 87221 83276	587221	283276	52.415432	0.75147639
NR31 6QB	NR31 6QB	TG 52665 04229	652665	304229	52.577124	1.7277341
NR27 0BG	NR27 0BG	TG 22448 41460	622448	341460	52.924449	1.3078432
NR26 8RT	NR26 8RT	TG 16115 42861	616115	342861	52.939607	1.2147257
NR14 6QH	NR14 6QH	TM 35701 98647	635701	298647	52.534646	1.473913
NR30 1QP	NR30 1QP	TG 52274 08893	652274	308893	52.619145	1.7255288
NR2 2TJ	NR2 2TJ	TG 22559 07986	622559	307986	52.623987	1.2867629
NR12 9BU	NR12 9BU	TG 37379 24962	637379	324962	52.770038	1.5175246
PE32 1DW	PE32 1DW	TF 72004 22595	572004	322595	52.773546	0.54839076
NR4 6NE	NR4 6NE	TG 22793 06405	622793	306405	52.609702	1.2891493
NR3 4LF	NR3 4LF	TG 23289 10170	623289	310170	52.643289	1.2990044
NR6 7HQ	NR6 7HQ	TG 23243 12909	623243	312909	52.66789	1.3001781
PE38 9DH	PE38 9DH	TF 61003 03237	561003	303237	52.603064	0.3760072
NR11 6BW	NR11 6BW	TG 19543 26472	619543	326472	52.791129	1.2546146
NR2 2BQ	NR2 2BQ	TG 22110 08015	622110	308015	52.624431	1.2801605
NR6 5QJ	NR6 5QJ	TG 20099 13012	620099	313012	52.670099	1.2538314
NR31 8HS	NR31 8HS	TG 50635 04985	650635	304985	52.584844	1.6984123
NR19 1AE	NR19 1AE	TF 99130 13024	599130	313024	52.678309	0.94417588
PE36 5DN	PE36 5DN	TF 67606 40940	567606	340940	52.939683	0.49268795
IP22 4WG	IP22 4WG	TM 11712 80199	611712	280199	52.378889	1.1091065
NR5 0GB	NR5 0GB	TG 16825 10499	616825	310499	52.648861	1.2038408
NR8 6JR	NR8 6JR	TG 16146 14104	616146	314104	52.681489	1.1961822
NR12 8DU	NR12 8DU	TG 31132 18718	631132	318718	52.716714	1.4207051
NR1 3JJ	NR1 3JJ	TG 23252 07384	623252	307384	52.6183	1.2965769
PE31 7EX	PE31 7EX	TF 67625 37623	567625	337623	52.909887	0.49125893
NR29 5AB	NR29 5AB	TG 38851 18233	638851	318233	52.709014	1.5344076
NR8 6EE	NR8 6EE	TG 18177 13947	618177	313947	52.679267	1.2260729
NR11 6AA	NR11 6AA	TG 19241 26774	619241	326774	52.793962	1.2503457
IP22 4WG	IP22 4WG	TM 11712 80199	611712	280199	52.378889	1.1091065
NR13 5RP	NR13 5RP	TG 32726 08324	632726	308324	52.622762	1.4369255
NR17 2AS	NR17 2AS	TM 05080 95038	605080	295038	52.514628	1.0209233
PE14 9BT	PE14 9BT	TF 50738 02568	550738	302568	52.599997	0.22425367
NR14 7FA	NR14 7FA	postcode not found
NR15 2UY	NR15 2UY	TM 19241 93102	619241	293102	52.491744	1.2279974
NR23 1JP	NR23 1JP	TF 91770 43558	591770	343558	52.955107	0.85336253
NR20 3QA	NR20 3QA	TG 05249 11131	605249	311131	52.659035	1.0333766
NR5 8AD	NR5 8AD	TG 19408 08712	619408	308712	52.631785	1.2407719
IP24 2AG	IP24 2AG	TL 87082 82938	587082	282938	52.412444	0.74924621
NR16 2AD	NR16 2AD	TL 99406 86388	599406	286388	52.43907	0.93225302
PE33 0TU	PE33 0TU	TF 61794 10364	561794	310364	52.666843	0.3911655
PE30 4DY	PE30 4DY	TF 63638 20497	563638	320497	52.757301	0.42344822
NR18 0RF	NR18 0RF	TG 11636 01728	611636	301728	52.572177	1.1216498
IP21 4TX	IP21 4TX	TM 19625 86075	619625	286075	52.428518	1.229022
NR3 3DL	NR3 3DL	TG 22704 09146	622704	309146	52.634339	1.2896828
NR7 9QL	NR7 9QL	TG 26122 10155	626122	310155	52.641982	1.3407918
PE32 2NW	PE32 2NW	TF 88528 17502	588528	317502	52.722306	0.79011917
NR19 2EN	NR19 2EN	TF 98980 13628	598980	313628	52.683787	0.94232486
PE30 5SY	PE30 5SY	TF 62172 19858	562172	319858	52.752003	0.40142924
NR11 8AR	NR11 8AR	TG 30986 36448	630986	336448	52.875875	1.431058
NR21 8SY	NR21 8SY	TF 93250 30710	593250	330710	52.839227	0.86773449
NR30 2PW	NR30 2PW	TG 52679 07171	652679	307171	52.603509	1.7301836
NR20 5JS	NR20 5JS	TF 98718 21245	598718	321245	52.752267	0.9430569
PE37 7RD	PE37 7RD	TF 82151 08761	582151	308761	52.645997	0.69097791
NR29 3RW	NR29 3RW	TG 49261 14933	649261	314933	52.674721	1.6856755
NR28 0BQ	NR28 0BQ	TG 28064 30085	628064	330085	52.820021	1.3832731
NR2 3QX	NR2 3QX	TG 20811 08158	620811	308158	52.626244	1.2610976
NR12 7HA	NR12 7HA	TG 27188 20096	627188	320096	52.730749	1.3633729
IP25 6FA	IP25 6FA	TF 91670 00711	591670	300711	52.570442	0.826837
NR4 6TA	NR4 6TA	TG 19249 05434	619249	305434	52.602428	1.236254
PE37 7QN	PE37 7QN	TF 82109 09043	582109	309043	52.648544	0.69051335
NR28 0BQ	NR28 0BQ	TG 28064 30085	628064	330085	52.820021	1.3832731
NR30 2HW	NR30 2HW	TG 52585 07497	652585	307497	52.606477	1.7290472
PE38 9AF	PE38 9AF	TF 61430 03029	561430	303029	52.601069	0.38220515
NR2 2HL	NR2 2HL	TG 22416 07621	622416	307621	52.62077	1.2844085
PE32 2JQ	PE32 2JQ	TF 79658 23414	579658	323414	52.778411	0.66217394
NR7 0AJ	NR7 0AJ	TG 25899 09618	625899	309618	52.637255	1.3371346
PE31 8DH	PE31 8DH	TF 82845 41958	582845	341958	52.943854	0.7197649
NR1 4NU	NR1 4NU	TG 24762 09026	624762	309026	52.632414	1.319959
NR3 4LE	NR3 4LE	TG 23318 10206	623318	310206	52.6436	1.2994566
NR14 7JT	NR14 7JT	TG 26669 02438	626669	302438	52.572498	1.3435777
IP26 4AY	IP26 4AY	TL 71708 90204	571708	290204	52.482739	0.52718478
NR13 4PL	NR13 4PL	TG 33517 10006	633517	310006	52.637516	1.4497771
NR31 8RW	NR31 8RW	TG 50969 03720	650969	303720	52.573342	1.7023741
IP20 9AT	IP20 9AT	TM 24559 83468	624559	283468	52.403117	1.2997179
NR9 4JB	NR9 4JB	TG 02499 02376	602499	302376	52.58147	0.98741582
PE30 4SR	PE30 4SR	TF 64623 19999	564623	319999	52.752529	0.43778038
NR3 2HW	NR3 2HW	TG 22385 10200	622385	310200	52.643929	1.2856865
NR4 7TJ	NR4 7TJ	TG 19497 07667	619497	307667	52.62237	1.241391
NR3 3UA	NR3 3UA	TG 22019 11133	622019	311133	52.652452	1.2809135
NR31 6TY	NR31 6TY	TG 52285 04773	652285	304773	52.58218	1.7225523
PE30 5QX	PE30 5QX	TF 62497 19382	562497	319382	52.74763	0.40600445
IP25 7LA	IP25 7LA	TF 95991 07388	595991	307388	52.628852	0.89446149
NR30 2PT	NR30 2PT	TG 52404 07435	652404	307435	52.606005	1.7263329
NR10 3DX	NR10 3DX	TG 19073 16485	619073	316485	52.701685	1.2409924
NR13 3RA	NR13 3RA	TG 40187 10715	640187	310715	52.640969	1.5486674
PE34 4LZ	PE34 4LZ	TF 55100 20484	555100	320484	52.7597	0.29703461
NR2 4BX	NR2 4BX	TG 22110 08758	622110	308758	52.6311	1.2806596
NR29 3AW	NR29 3AW	TG 44371 14480	644371	314480	52.672881	1.6131642
PE33 9AG	PE33 9AG	TF 70070 01984	570070	301984	52.589051	0.50911523
NR31 7BP	NR31 7BP	TG 51794 04138	651794	304138	52.576711	1.7148391
NR15 1AH	NR15 1AH	TM 21051 98442	621051	298442	52.538943	1.2581588
PE30 3PT	PE30 3PT	TF 64436 24201	564436	324201	52.790326	0.43711996
NR2 4JL	NR2 4JL	TG 21819 09126	621819	309126	52.634521	1.2766142
PE37 7HJ	PE37 7HJ	TF 81813 09750	581813	309750	52.654992	0.68653243
NR18 0AF	NR18 0AF	TG 11129 01235	611129	301235	52.567948	1.1138663
NR11 7NP	NR11 7NP	TG 18722 34363	618722	334363	52.862284	1.2477415
NR19 1LD	NR19 1LD	TF 98951 11659	598951	311659	52.66612	0.9407083
NR2 4JA	NR2 4JA	TG 21955 09431	621955	309431	52.637203	1.2788253
NR7 0WG	NR7 0WG	TG 28183 08827	628183	308827	52.629202	1.3702806
PE30 5PD	PE30 5PD	TF 62679 19435	562679	319435	52.748052	0.4087245
NR2 4SZ	NR2 4SZ	TG 22604 08994	622604	308994	52.633016	1.2881053
NR7 0SR	NR7 0SR	TG 27559 08984	627559	308984	52.630873	1.3611855
NR2 2PJ	NR2 2PJ	TG 21320 07550	621320	307550	52.62058	1.2681981
CO7 6RT	CO7 6RT	TM 07935 35293	607935	235293	51.977179	1.0261912
NR32 1PL	NR32 1PL	TM 54922 93557	654922	293557	52.480338	1.7527884
CB8 8XU	CB8 8XU	TL 74309 55617	574309	255617	52.171281	0.54753115
IP3 9BN	IP3 9BN	TM 18448 43548	618448	243548	52.047253	1.1842758
IP33 1LU	IP33 1LU	TL 85506 64143	585506	264143	52.2442	0.71574099
IP7 7EX	IP7 7EX	TL 99370 49069	599370	249069	52.104011	0.90968558
IP31 2HD	IP31 2HD	TL 93130 71028	593130	271028	52.303403	0.83120631
IP1 2EU	IP1 2EU	TM 15648 44737	615648	244737	52.059022	1.1442594
NR34 9NX	NR34 9NX	TM 42180 89896	642180	289896	52.453288	1.5628863
NR33 7QA	NR33 7QA	TM 52891 86812	652891	286812	52.420772	1.7178415
NR32 3LJ	NR32 3LJ	TM 52382 93173	652382	293173	52.478073	1.7151774
CB9 8LU	CB9 8LU	TL 66421 44787	566421	244787	52.076435	0.42700595
IP33 1ET	IP33 1ET	TL 85447 64283	585447	264283	52.245477	0.71495463
CO10 9EP	CO10 9EP	TL 86548 45504	586548	245504	52.076465	0.72075245
IP11 7DD	IP11 7DD	TM 30224 34525	630224	234525	51.961508	1.3496414
NR33 9LU	NR33 9LU	TM 52512 92395	652512	292395	52.471033	1.7164986
IP6 8EZ	IP6 8EZ	TM 09014 54151	609014	254151	52.14608	1.0534105
IP28 7EG	IP28 7EG	TL 71090 74692	571090	274692	52.343614	0.51016706
IP14 5SQ	IP14 5SQ	TM 10460 65975	610460	265975	52.25168	1.0818511
IP9 2QS	IP9 2QS	TM 16974 36416	616974	236416	51.983808	1.1583
CB9 8HF	CB9 8HF	TL 66861 45491	566861	245491	52.082626	0.43376424
IP18 6GY	IP18 6GY	TM 49876 77240	649876	277240	52.33628	1.6664705
NR32 1JE	NR32 1JE	TM 55043 94264	655043	294264	52.486624	1.755107
IP1 3QW	IP1 3QW	TM 15901 45339	615901	245339	52.064328	1.1483242
IP13 9HA	IP13 9HA	TM 27807 64018	627807	264018	52.227214	1.3342206
CB8 8NU	CB8 8NU	TL 64346 63599	564346	263599	52.246034	0.40585504
